video_id,title,channel_title,published_at,view_count,like_count,comment_count,activity,query
Xjvz6sHz7E4,Wisconsin Idiots Play Hotbox,TJ Bee,2013-05-03T12:13:30Z,440,1,4,Hot Box,hot box frisbee
FsBa0PLSaaU,⛺️💨HOTBOX TENT CHALLENGE💨⛺️... ( HE GREENED OUT🤢),YoungKojak,2026-04-23T21:26:32Z,2758,202,25,Hot Box,hot box frisbee
DtsmBX2vlgs,AKA Tutorials: Hot Box,AKASPORT,2023-01-03T14:26:41Z,97,1,0,Hot Box,hot box frisbee
CJ3JAr0TrCw,Hot Box,OPENPhysEd.org,2019-02-19T14:42:08Z,484,2,0,Hot Box,hot box frisbee
cVPtU4CwX1o,Hot Box en slow motion | Discobulles,pr0ger,2015-05-11T14:42:48Z,433,1,0,Hot Box,hot box frisbee
o7SFgrWl524,World&#39;s Largest Frisbee Launcher,CrunchLabs,2022-12-09T20:31:26Z,13253739,23219,246,Hot Box,hot box frisbee
CsJiN-4mpj8,This swing sounds like ASMR 😴 #funny #shorts #reels #golf #girl #asmr,Fantasy Roundup,2025-05-31T13:09:23Z,2729932,8931,189,Hot Box,hot box frisbee
8ukl0nd7GRk,Hotbox with the guys,Fastlifekai,2025-06-04T01:25:57Z,51,1,1,Hot Box,hot box frisbee
y_QwatcgXfs,3rd-6th grade Hot Box P.E. Game,Justin Laureano,2020-04-08T17:57:01Z,511,12,0,Hot Box,hot box frisbee
kPw58s37oe0,small game of hot box,Mark Coomber,2008-03-26T18:11:19Z,674,0,2,Hot Box,hot box frisbee
cRZ7wkjMhxY,Throw so good it came back for more! 🥏#frisbee #boomerang #flyingdisc #trickshot #keeplifefun,Waboba,2025-02-26T16:49:31Z,693482,4262,54,Hot Box,hot box frisbee
xND9UGzTNTk,How to Throw a Frisbee (Forehand Grip) #ultimatefrisbee #frisbee #usaultimate,Kurt Gibson,2024-12-24T17:01:02Z,530723,8054,45,Hot Box,hot box frisbee
f1sfUqpkHsc,He never gave up 👏🫡 #shorts,MaxPreps,2023-08-09T22:00:19Z,36259010,570809,7108,Hot Box,hot box frisbee
qYcH7kxaZ38,FaZe &amp; QTCinderella TRICK FanFan! 😂,JasonTheWeen,2024-11-12T21:11:15Z,4521614,77634,297,Hot Box,hot box frisbee
_2km8y_vALk,Jeremy Koling Huge Disc Golf Drive at the Japan Open! 🥏💪,Disc Golf United,2023-05-20T01:54:37Z,1119454,8509,140,Hot Box,hot box frisbee
7Peb3EcBUSI,BOTTLE TRICK,Ricky Berwick,2022-12-05T17:00:04Z,1172136506,20504560,51687,Hot Box,hot box frisbee
o7SFgrWl524,World&#39;s Largest Frisbee Launcher,CrunchLabs,2022-12-09T20:31:26Z,13253739,23219,246,World War Free,world war frisbee
tLBWqUCyrdU,(disc golf)World War Z presented by Black Zombie Disc Golf at Moody&#39;s Ranch.,Black Zombie Disc Golf,2020-06-07T20:43:49Z,619,9,7,World War Free,world war frisbee
VJQOOAYgJ0k,Hitler’s Bell That Terrified the World,History Simplified,2025-10-05T03:02:27Z,7541848,331781,5597,World War Free,world war frisbee
cz_-yYWO9ls,DISFIGURED WW1 Soldiers BEFORE And AFTER!😱 #ww1 #warshorts #disturbing,Insane Facts,2024-04-05T22:58:39Z,218326,2254,93,World War Free,world war frisbee
ZQEwpO-YGfE,The greatest shot we’ve ever seen in Urban Disc Golf.,Urban Disc Golf,2024-05-22T23:36:51Z,968708,21237,197,World War Free,world war frisbee
IVfjTNIuubQ,Disc Golf Ace by Jakson Griffith,Innova Discs,2021-06-13T15:12:29Z,4218191,90223,1438,World War Free,world war frisbee
wAxf8YqoXgA,Can The World Record Frisbee Fly The Length Of This Stadium?,How Ridiculous,2021-09-10T22:00:17Z,6025376,82183,3886,World War Free,world war frisbee
k5ZN9Fwuj00,Master Class: Disc Priest Midnight Season 1,AutomaticJak,2026-05-13T14:01:08Z,3930,163,44,World War Free,world war frisbee
M3Dcet5xx60,How To Throw a Frisbee Like a Pro 🥏🔥,Daily Facts,2025-09-27T01:19:16Z,1666583,33333,64,World War Free,world war frisbee
QXFqerXfmuY,Terrifying World War 1 Zeppelin Tactic Used by the Germans!,Mind Burst,2023-08-02T18:57:03Z,93719,2061,42,World War Free,world war frisbee
_UV2eJ3Q6Ns,M1911 Comparison | Hell Let Loose vs Enlisted vs COD WW2 vs COD Vanguard,WarbyGaming,2025-06-08T11:15:03Z,1203011,20609,307,World War Free,world war frisbee
Y9YwpR1h3VE,This Siren Saved Thousands Of Lives 😳,Sean Andrew,2025-06-27T23:50:24Z,20745703,530629,3142,World War Free,world war frisbee
l9nTejkslMY,We Made the World’s Biggest Blaster!,Dude Perfect,2025-10-04T15:04:15Z,24193199,401434,816,World War Free,world war frisbee
dxBiaWaAyd8,New Viral Gadgets!😍 Awesome Flying Disc Montage✨ |#shorts #gadgets,Quick Gadgets,2023-07-30T05:30:20Z,619509,NA,50,World War Free,world war frisbee
89iJF2IS22A,Professional Disc Golfers attempt to cross the Pedestrian Bridge in UDG. #UrbanDiscGolf #DiscGolf,Urban Disc Golf,2023-10-05T20:52:27Z,14344879,308050,348,World War Free,world war frisbee
856SStNYrxU,THIS Ultimate Frisbee World Final Was CINEMA!,Ulti Von,2025-08-22T22:25:48Z,7318,152,31,World War Free,world war frisbee
GmSluiBrDgw,The best frisbee golf shot you’ll ever see 🤯,SportsNation,2022-07-27T13:00:15Z,5878425,119268,1131,World War Free,world war frisbee
jEidfn_Q2PQ,STEEL paper airplane?? #shorts #explore,Wachtman Knife & Tool,2024-07-01T17:59:54Z,1593337,12036,552,World War Free,world war frisbee
0b4g4ZZNC1E,The World At War 1973(World War II Documentary) 01.A New Germany (1933–1939),Shubham Sharda,2018-01-16T14:21:01Z,2448638,17037,2922,World War Free,world war frisbee
8jCzEQPz9n0,Why US Soldiers Kept Live Grenades Under Their Pillows 🛌,The Art Of War,2025-08-13T14:00:14Z,38326997,771343,2501,World War Free,world war frisbee
HnPyk9FmQ3o,Best ultimate frisbee play ever?,UFA Ultimate Frisbee Association,2023-03-06T23:00:24Z,8716787,97474,98,World War Free,world war frisbee
oRsnwbb7KyE,THEN &amp; NOW – Berlin: Germany History old photo #berlin #germany #history #ww2 #timetravel,Berliner Walk,2024-03-11T16:14:00Z,2046492,46197,881,World War Free,world war frisbee
VY9ugrSWdZo,World War 1 Memorial Disc Golf Course 9 Hole Challenge! - Daily Disc Golf: 141,Daily Disc Golf,2019-08-20T15:11:45Z,1007,43,19,World War Free,world war frisbee
TsfZiOnCA3w,I played EVERY Minecraft music disc at the same time...,Flekting,2022-08-26T18:30:24Z,516692,9907,140,World War Free,world war frisbee
qgZReY9jnj4,This Robot Is Impossible To Beat!,Mark Rober,2025-02-13T16:09:53Z,58028449,1886808,3446,World War Free,world war frisbee
P27qFQHcRtU,Double Disc Court (DDC) - Flying Disc Sport,World Flying Disc Federation,2021-10-28T19:11:56Z,13442,125,9,Double Disc Court,double disc court | ddc frisbee | escape frisbee
cg08BND9UE4,The Most Exciting Frisbee Game You&#39;ve Never Played | Double Disc Court Explained,Escape!! Frisbee,2026-03-10T21:51:41Z,163,9,3,Double Disc Court,double disc court | ddc frisbee | escape frisbee
cFdmTkGrkbI,Swedish Nationals Frisbee - Double Disc Court (DDC) Final 2016 - rally,stefdisc1,2016-07-12T19:44:02Z,1329,17,1,Double Disc Court,double disc court | ddc frisbee | escape frisbee
k8mY5hqPDPc,"Double disc court, Escape!! frisbee, summer league 29 June 2025",Escape!! Frisbee,2025-06-30T18:25:14Z,163,2,0,Double Disc Court,double disc court | ddc frisbee | escape frisbee
naYkjvbQx88,South Coast Escape!! Frisbee (DDC) Championship 2025 Finals,Escape!! Frisbee,2025-11-11T23:56:41Z,81,6,1,Double Disc Court,double disc court | ddc frisbee | escape frisbee
nszaRylOxus,How To Play Double Disc Court (DDC),Escape!! Frisbee,2010-01-03T02:17:31Z,74153,264,20,Double Disc Court,double disc court | ddc frisbee | escape frisbee
FICGwEwaK1g,"How To Play Escape Frisbee (Double Disc Court), DDC",Escape!! Frisbee,2025-05-28T18:58:47Z,1022,7,6,Double Disc Court,double disc court | ddc frisbee | escape frisbee
lsnA4Y74bNY,"How Escape!! frisbee (double disc court) is played, part 1",Escape!! Frisbee,2024-08-25T05:35:03Z,87,9,0,Double Disc Court,double disc court | ddc frisbee | escape frisbee
IVfjTNIuubQ,Disc Golf Ace by Jakson Griffith,Innova Discs,2021-06-13T15:12:29Z,4218191,90223,1438,Double Disc Court,double disc court | ddc frisbee | escape frisbee
dwiBM6l7Etg,"YellowRed, Escape!! frisbee, double disc court, DDC",Escape!! Frisbee,2024-05-22T22:18:15Z,37,1,0,Double Disc Court,double disc court | ddc frisbee | escape frisbee
6_LHbt16_uk,"Double disc court, Escape frisbee, 8 June 2025",Escape!! Frisbee,2025-06-12T15:44:32Z,183,1,0,Double Disc Court,double disc court | ddc frisbee | escape frisbee
nKHDku6_0yg,How to play double disc court,Escape!! Frisbee,2024-02-22T13:29:46Z,890,17,0,Double Disc Court,double disc court | ddc frisbee | escape frisbee
BiPFNc0z7Ns,How To Play Better Double Disc Court (DDC),Escape!! Frisbee,2011-01-05T18:06:55Z,3585,20,7,Double Disc Court,double disc court | ddc frisbee | escape frisbee
Dl-qufEtU4I,Swedish Nationals Frisbee - Double Disc Court (DDC) Final 2016 - rally2,stefdisc1,2016-07-12T21:56:55Z,113,0,0,Double Disc Court,double disc court | ddc frisbee | escape frisbee
AGaT74MjYWY,"Great escapes from Escape!! Frisbee, double disc court, DDC",Escape!! Frisbee,2024-06-07T15:46:09Z,206,8,0,Double Disc Court,double disc court | ddc frisbee | escape frisbee
KrsdZI4t5gU,Frisbee - Double Disc Court (DDC) SM 2017   Final set1,stefdisc1,2017-07-08T11:51:16Z,302,1,0,Double Disc Court,double disc court | ddc frisbee | escape frisbee
k1XYgNJnqUA,"Essential throws and tips in the sport of Escape!! frisbee (aka, DDC)",Escape!! Frisbee,2024-07-01T02:50:34Z,569,3,0,Double Disc Court,double disc court | ddc frisbee | escape frisbee
BGcyROTjW58,One does not simply layout D the Cardenas Twins,Ultiworld - Ultimate Frisbee,2024-07-05T15:44:48Z,43653198,653206,334,Double Disc Court,double disc court | ddc frisbee | escape frisbee
Iz-jb-XdmFQ,How to volley the frisbees in double disc court,Escape!! Frisbee,2024-02-18T22:11:31Z,3178,20,2,Double Disc Court,double disc court | ddc frisbee | escape frisbee
JEg4PpY_5Lo,Toward vision-style analytics for Escape!! frisbee (DDC),Escape!! Frisbee,2025-09-11T18:11:52Z,51,4,1,Double Disc Court,double disc court | ddc frisbee | escape frisbee
xND9UGzTNTk,How to Throw a Frisbee (Forehand Grip) #ultimatefrisbee #frisbee #usaultimate,Kurt Gibson,2024-12-24T17:01:02Z,530723,8054,45,Double Disc Court,double disc court | ddc frisbee | escape frisbee
V9st-alR4eQ,Is the glitch the most unique disc in disc golf?! 👀🥏 #ace #discgolf,J-Milly Disc Golf,2023-03-30T21:23:46Z,9354680,283064,395,Double Disc Court,double disc court | ddc frisbee | escape frisbee
l0iL1CJng0g,The Hardest Shot in Disc Golf (Hyzer Flip to Late Turnover),JustDisc,2023-09-05T14:00:36Z,874269,11431,194,Double Disc Court,double disc court | ddc frisbee | escape frisbee
-svUt4wGs0E,Frisbee - Double Disc Court (DDC) SM 2017   Final set3,stefdisc1,2017-07-08T12:23:09Z,102,1,0,Double Disc Court,double disc court | ddc frisbee | escape frisbee
x7i90d5d170,"1 June 2025 Escape Frisbee, double disc court",Escape!! Frisbee,2025-06-03T02:43:03Z,42,1,0,Double Disc Court,double disc court | ddc frisbee | escape frisbee
1wgkP_8vQps,2023 US Nationals GUTS Frisbee Tournament | UP HARDWOOD vs Blame the Dog | elimination round,USA GUTS,2023-08-06T21:24:29Z,2770,17,5,Guts,guts frisbee
